;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Taubaté;324.216.000,00;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;324.216.000,00;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;324.216.000,00;0,17%;324.216.000,00;0,17%;0;0,00%;0;0,00%;0;0,00%
Florianópolis;289.712.542,60;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;289.712.542,60;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;289.712.542,60;0,15%;289.712.542,60;0,15%;0;0,00%;0;0,00%;0;0,00%
Caucaia;286.359.190,24;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;286.359.190,24;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;286.359.190,24;0,15%;286.359.190,24;0,15%;0;0,00%;0;0,00%;0;0,00%
Belém;278.127.373,29;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;278.127.373,29;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;278.127.373,29;0,15%;278.127.373,29;0,15%;0;0,00%;0;0,00%;0;0,00%
Blumenau;269.411.851,13;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;269.411.851,13;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;269.411.851,13;0,14%;269.411.851,13;0,14%;0;0,00%;0;0,00%;0;0,00%
Joinville;253.517.022,02;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;224.049.525,92;0,07%;29.467.496,10;0,01%;29.467.496,10;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.467.496,10;0,03%;224.049.525,92;0,12%;224.049.525,92;0,12%;0;0,00%;0;0,00%;0;0,00%
Campo Grande;214.250.055,38;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;214.250.055,38;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;214.250.055,38;0,11%;214.250.055,38;0,11%;0;0,00%;0;0,00%;0;0,00%
Osasco;212.983.576,27;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;212.983.576,27;0,07%;212.983.576,27;0,19%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;212.983.576,27;0,19%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Natal;204.641.028,11;0,07%;0;0,00%;0;0,00%;0;0,00%;204.641.028,11;0,07%;0;0,00%;0;0,00%;204.641.028,11;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;204.641.028,11;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Caxias do Sul;167.972.519,69;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;145.955.340,57;0,05%;22.017.179,12;0,01%;22.017.179,12;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;22.017.179,12;0,02%;145.955.340,57;0,08%;145.955.340,57;0,08%;0;0,00%;0;0,00%;0;0,00%
