"","date","lender","borrower","amount_honoured"
"460",2018-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3087270.23
"461",2018-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",28227799.93
"462",2018-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5038741.59
"463",2018-03-15,"Banco do Brasil S/A","Rio de Janeiro",9042276.53
"464",2018-03-20,"Japan International Cooperation Agency","Rio de Janeiro",28569532.75
"465",2018-03-09,"BID","Rio de Janeiro",40051586.92
"466",2018-03-13,"Corporacão Andina de Fomento","Rio de Janeiro",18723967.42
"467",2018-03-13,"Corporacão Andina de Fomento","Rio de Janeiro",37562235.19
"468",2018-02-15,"Banco Mundial","Rio de Janeiro",20140750.22
"469",2018-02-15,"Banco Mundial","Rio de Janeiro",661011.7
"470",2018-02-19,"Caixa Econômica Federal","Rio de Janeiro",2725372.6
"471",2018-02-25,"Caixa Econômica Federal","Rio de Janeiro",13285537.96
"472",2018-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26952836.98
"473",2018-02-15,"Banco Mundial","Rio de Janeiro",17417416.99
"474",2018-02-19,"Caixa Econômica Federal","Rio de Janeiro",1018215.58
"475",2018-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3239879.06
"476",2018-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30524165.27
"477",2018-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5326599.74
"478",2018-02-28,"Banco Mundial","Rio de Janeiro",6057166.49
"479",2018-02-15,"Caixa Econômica Federal","Rio de Janeiro",8322758.06
"480",2018-02-14,"Caixa Econômica Federal","Natal",2192501.67
"481",2018-02-15,"Banco do Brasil S/A","Rio de Janeiro",9588961.28
"482",2018-01-28,"BID","Rio de Janeiro",19629950.5
"483",2018-01-02,"Caixa Econômica Federal","Rio de Janeiro",60199758.45
"484",2018-01-25,"Caixa Econômica Federal","Rio de Janeiro",13406996.71
"485",2018-01-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5334139.25
"486",2018-01-19,"Caixa Econômica Federal","Rio de Janeiro",2720022.58
"487",2018-01-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26806890.41
"488",2018-01-19,"Caixa Econômica Federal","Rio de Janeiro",1016595.98
"489",2018-01-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3207241.97
"490",2018-01-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30515142.29
"491",2018-01-30,"Banco Mundial","Rio de Janeiro",946428.23
"492",2018-01-15,"Banco do Brasil S/A","Rio de Janeiro",9484483.75
"493",2018-01-15,"Caixa Econômica Federal","Rio de Janeiro",8200392.95
"494",2018-01-12,"Caixa Econômica Federal","Natal",2184670.16
"495",2018-01-15,"Caixa Econômica Federal","Roraima",2718309.84
"496",2017-12-27,"BID","Rio de Janeiro",2437726.4
"497",2017-12-15,"BID","Rio de Janeiro",5224184.31
"498",2017-12-15,"BID","Rio de Janeiro",14779774.96
"499",2017-12-25,"Caixa Econômica Federal","Rio de Janeiro",8277555.01
"500",2017-11-25,"Caixa Econômica Federal","Roraima",3006845.44
"501",2017-12-25,"Caixa Econômica Federal","Roraima",2697797.62
"502",2017-12-15,"Banco do Brasil S/A","Rio de Janeiro",9208114.58
"503",2017-12-15,"Caixa Econômica Federal","Rio de Janeiro",8165837.72
"504",2017-12-19,"Caixa Econômica Federal","Rio de Janeiro",2714316.34
"505",2017-12-12,"Caixa Econômica Federal","Natal",2177867.08
"506",2017-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25254418.23
"507",2017-12-15,"Caixa Econômica Federal","Roraima",2631233.11
"508",2017-12-19,"Caixa Econômica Federal","Rio de Janeiro",1015305.49
"509",2017-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3133853.4
"510",2017-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",28436576.5
"511",2017-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5058526.15
"512",2017-12-15,"Banco do Brasil S/A","Rio de Janeiro",344949384.85
"513",2017-12-01,"Caixa Econômica Federal","Rio de Janeiro",60146962.45
"514",2017-12-05,"Corporacão Andina de Fomento","Rio de Janeiro",33411928.14
"515",2017-11-22,"Corporacão Andina de Fomento","Rio de Janeiro",20653107.68
"516",2017-11-01,"Caixa Econômica Federal","Rio de Janeiro",63536101.47
"517",2017-11-19,"Caixa Econômica Federal","Rio de Janeiro",1021515.49
"518",2017-11-19,"Caixa Econômica Federal","Rio de Janeiro",2708098
"519",2017-11-25,"Caixa Econômica Federal","Rio de Janeiro",8348496.42
"520",2017-11-12,"Caixa Econômica Federal","Natal",2191079.07
"521",2017-11-15,"Banco Mundial","Rio de Janeiro",1570972.52
"522",2017-11-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26976428.26
"523",2017-11-15,"Banco Mundial","Rio de Janeiro",48235886.33
"524",2017-11-16,"Caixa Econômica Federal","Roraima",2814010.11
"525",2017-11-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3233229.43
"526",2017-11-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30657768.52
"527",2017-11-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5378669.23
"528",2017-11-15,"Banco Mundial","Rio de Janeiro",36848729.21
"529",2017-11-15,"Banco Mundial","Rio de Janeiro",236883.8
"530",2017-11-15,"BID","Rio de Janeiro",2278243.26
"531",2017-11-16,"Caixa Econômica Federal","Rio de Janeiro",8444459.19
"532",2017-11-16,"Banco do Brasil S/A","Rio de Janeiro",9618916.31
"533",2017-10-31,"Agência Francesa de Desevolvimento","Rio de Janeiro",27552210.62
"534",2017-11-07,"Banco do Brasil S/A","Rio de Janeiro",129639550.04
"535",2017-10-15,"BID","Rio de Janeiro",2841540.63
"536",2017-10-25,"Caixa Econômica Federal","Roraima",2841093.54
"537",2017-10-15,"Banco Mundial","Rio de Janeiro",2849135.04
"538",2017-10-15,"Banco Mundial","Rio de Janeiro",48096007.38
"539",2017-10-15,"Banco Mundial","Rio de Janeiro",9014175.9
"540",2017-10-15,"Banco Mundial","Rio de Janeiro",7239278.39
"541",2017-10-12,"Caixa Econômica Federal","Natal",2193218.67
