Relatório de Honras e Atrasos
Data de Emissão: 30/04/2020 11:35
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Status Atraso: Honra de Aval
Data Regularização Inicial: 01/01/2016
Data Regularização Final: 30/04/2020

Data de Vencimento;Tipo de Dívida;Nome do Contrato;Credor;Classificação do Credor;Mutuário;Tipo de Mutuário;Processo PGFN;Status;Data Limite da União;Data Regularização do Atraso;Moeda de Origem;Total no Vencimento (Moeda de Origem);Honra - Principal (Moeda de Origem);Honra - Juros/Encargos (Moeda de Origem);Honra - Mora (Moeda de Origem);Honra - Total (Moeda de Origem);Honra - Principal (R$);Honra Juros/Encargos (R$);Honra - Mora (R$);Honra - Total (R$);Ano Regularização;Mês Regularização;
15/04/2020;Externa;BIRD7773-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.001999/2008-12;Honra de Aval;15/05/2020;23/04/2020;Dólar;1.316.118,12;925.344,58;390.270,84;502,70;1.316.118,12;5.044.978,65;2.127.756,62;2.740,72;7.175.475,99;2020;Abril;
15/04/2020;Externa;BIRD7329-BR;Banco Mundial;Organismos Multilaterais;Minas Gerais;Estados;19405.000031/2004-78;Honra de Aval;15/05/2020;23/04/2020;Dólar;1.534.540,73;1.451.422,18;81.949,75;1.168,80;1.534.540,73;7.913.153,73;446.790,04;6.372,30;8.366.316,07;2020;Abril;
15/04/2020;Externa;BIRD7711-BR;Banco Mundial;Organismos Multilaterais;Pernambuco;Estados;17944.001801/2008-09;Honra de Aval;15/05/2020;23/04/2020;Dólar;8.344.336,90;7.639.106,63;705.230,27;0,00;8.344.336,90;41.755.963,13;3.854.083,43;0,00;45.610.046,56;2020;Abril;
15/04/2020;Externa;BIRD7827-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.001408/2009-98;Honra de Aval;15/05/2020;23/04/2020;Dólar;15.388.793,96;10.330.500,00;5.051.914,88;6.379,08;15.388.793,96;56.333.013,33;27.509.590,90;34.724,52;83.877.328,75;2020;Abril;
15/04/2020;Externa;BIRD7508-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.001583/2007-13;Honra de Aval;15/05/2020;23/04/2020;Dólar;2.492.482,83;2.200.000,00;290.065,62;2.417,21;2.492.482,83;12.005.311,14;1.581.437,76;13.178,63;13.599.927,53;2020;Abril;
15/04/2020;Externa;BID2307/OC-BR;BID;Organismos Multilaterais;Rio de Janeiro;Estados;17944.001097/2009-67;Honra de Aval;15/05/2020;22/04/2020;Dólar;869.120,06;670.828,18;198.291,88;0,00;869.120,06;3.626.497,14;1.071.965,90;0,00;4.698.463,04;2020;Abril;
15/04/2020;Interna;CAIXA - 20130958;Caixa Econômica Federal;Bancos Federais;Paraíba;Estados;17944.001481/2012-65;Honra de Aval;20/05/2020;22/04/2020;Real;624.532,06;0,00;649.513,34;1.338,73;650.852,07;0,00;649.513,34;1.338,73;650.852,07;2020;Abril;
15/04/2020;Interna;CAIXA - 20120856;Caixa Econômica Federal;Bancos Federais;Amapá;Estados;17944.001452/2012-01;Honra de Aval;12/05/2020;22/04/2020;Real;8.020.522,48;4.367.478,08;3.973.865,30;15.083,91;8.356.427,29;4.367.478,08;3.973.865,30;15.083,91;8.356.427,29;2020;Abril;
15/04/2020;Interna;CAIXA - 20120782;Caixa Econômica Federal;Bancos Federais;Pernambuco;Estados;17977.001349/2012-53;Honra de Aval;18/05/2020;22/04/2020;Real;13.784.856,97;0,00;14.336.251,25;26.761,06;14.363.012,31;0,00;14.336.251,25;26.761,06;14.363.012,31;2020;Abril;
15/04/2020;Interna;CAIXA - 20120812;Caixa Econômica Federal;Bancos Federais;Roraima;Estados;17944.001473/2012-19;Honra de Aval;08/05/2020;22/04/2020;Real;2.176.500,08;1.185.186,68;1.078.373,40;4.093,28;2.267.653,36;1.185.186,68;1.078.373,40;4.093,28;2.267.653,36;2020;Abril;
15/04/2020;Interna;CAIXA - 20110709;Caixa Econômica Federal;Bancos Federais;Goiás;Estados;17944.002004/2011-36;Honra de Aval;11/05/2020;20/04/2020;Real;26.903.768,91;14.918.848,18;12.792.033,80;35.793,31;27.746.675,29;14.918.848,18;12.792.033,80;35.793,31;27.746.675,29;2020;Abril;
15/04/2020;Interna;CAIXA - 20160011;Caixa Econômica Federal;Bancos Federais;Goiás;Estados;17944.000541/2016-56;Honra de Aval;11/05/2020;20/04/2020;Real;26.788.039,38;16.109.272,86;11.482.407,70;58.632,32;27.650.312,88;16.109.272,86;11.482.407,70;58.632,32;27.650.312,88;2020;Abril;
15/04/2020;Interna;CAIXA - 20120818;Caixa Econômica Federal;Bancos Federais;Goiás;Estados;17944.001445/2012-00;Honra de Aval;28/04/2020;20/04/2020;Real;3.106.886,71;1.766.077,62;1.434.015,69;4.266,80;3.204.360,11;1.766.077,62;1.434.015,69;4.266,80;3.204.360,11;2020;Abril;
15/04/2020;Interna;BB - 2012769;Banco do Brasil S/A;Bancos Federais;Rio de Janeiro;Estados;17944.001308/2012-67;Honra de Aval;28/04/2020;17/04/2020;Real;7.964.910,62;4.527.434,11;3.437.476,51;57.928,72;8.022.839,34;4.527.434,11;3.437.476,51;57.928,72;8.022.839,34;2020;Abril;
15/04/2020;Interna;BNDES - 2013858;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Amapá;Estados;17944.001498/2012-12;Honra de Aval;28/04/2020;17/04/2020;Real;5.458.484,53;3.068.201,72;2.390.282,81;113.667,12;5.572.151,65;3.068.201,72;2.390.282,81;113.667,12;5.572.151,65;2020;Abril;
15/04/2020;Interna;BNDES - 2013822;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Goiás;Estados;17944.001458/2012-71;Honra de Aval;27/04/2020;17/04/2020;Real;2.216.768,94;1.253.030,64;963.738,30;46.161,85;2.262.930,79;1.253.030,64;963.738,30;46.161,85;2.262.930,79;2020;Abril;
15/04/2020;Interna;BNDES - 2012756;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Goiás;Estados;17944.001105/2012-71;Honra de Aval;08/05/2020;17/04/2020;Real;15.082.099,60;8.255.259,52;6.826.840,08;313.812,24;15.395.911,84;8.255.259,52;6.826.840,08;313.812,24;15.395.911,84;2020;Abril;
15/04/2020;Interna;BNDES - 2012792;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Minas Gerais;Estados;17944.001163/2012-02;Honra de Aval;28/04/2020;17/04/2020;Real;3.671.079,36;3.154.527,44;516.551,92;76.446,31;3.747.525,67;3.154.527,44;516.551,92;76.446,31;3.747.525,67;2020;Abril;
15/04/2020;Interna;BNDES - 2014976;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000487/2014-87;Honra de Aval;18/05/2020;17/04/2020;Real;21.992.180,01;11.157.031,65;10.836.617,22;456.548,72;22.450.197,59;11.157.031,65;10.836.617,22;456.548,72;22.450.197,59;2020;Abril;
15/04/2020;Interna;BNDES - 2013854;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Amapá;Estados;17944.000002/2013-74;Honra de Aval;28/04/2020;17/04/2020;Real;2.323.776,49;1.306.189,47;1.017.587,02;48.390,17;2.372.166,66;1.306.189,47;1.017.587,02;48.390,17;2.372.166,66;2020;Abril;
15/04/2020;Interna;BNDES - 2013840;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio Grande do Norte;Estados;17944.000026/2013-23;Honra de Aval;28/04/2020;17/04/2020;Real;2.133.843,37;1.206.156,89;927.686,48;44.435,01;2.178.278,38;1.206.156,89;927.686,48;44.435,01;2.178.278,38;2020;Abril;
15/04/2020;Interna;BB - 2013836;Banco do Brasil S/A;Bancos Federais;Rio Grande do Norte;Estados;17944.001447/2012-91;Honra de Aval;28/04/2020;17/04/2020;Real;2.898.634,63;1.638.423,94;1.260.210,69;21.062,67;2.919.697,30;1.638.423,94;1.260.210,69;21.062,67;2.919.697,30;2020;Abril;
