"","Inicio","Classificador","Periodo","total_total","interna_cambial","interna_total","externa_total","ATM_Total","Custo_Total","Ate_12_meses","Ate_12_meses_percentual","De_1_2_anos","De_1_2_anos_percentual","De_2_3_anos","De_2_3_anos_percentual","De_3_4_anos","De_3_4_anos_percentual","De_4_5_anos","De_4_5_anos_percentual","Acima_5_anos","Acima_5_anos_percentual","interna_demais"
"90",NA,NA,2020-04-30,15250699.84,0,0,15250699.84,13.30298597,NA,933460.3249,NA,726503.4788,NA,525480.9289,NA,768694.1276,NA,1154034.324,NA,17787171.67,NA,0
"91",NA,NA,2020-04-30,14652900,0,0,14652900,10.23835628,NA,460197.7031,NA,462719.3344,NA,458936.8875,NA,460197.7031,NA,1164345.415,NA,17253884.07,NA,0
"92",NA,NA,2020-04-30,14195904.7,0,0,14195904.7,1.1287671,NA,7955675.277,NA,7714554.946,NA,0,NA,0,NA,0,NA,0,NA,0
"93",NA,NA,2020-04-30,13333333,0,13333333,0,4.602083321,NA,1141668.61,NA,2063638.49,NA,2007875.42,NA,1949751.1,NA,1896570.55,NA,6337775.7,NA,13333333
"94",NA,NA,2020-04-30,9549142.97,0,0,9549142.97,6.4773568,NA,269642.0171,NA,296403.4958,NA,1556724.147,NA,1528355.824,NA,1492264.482,NA,7560937.629,NA,0
"95",NA,NA,2020-04-30,8893690.58,0,8893690.58,0,11.86433071,NA,1322789.755,NA,1316411.377,NA,1157408.526,NA,1000690.145,NA,943517.77,NA,12920759.39,NA,8893690.58
"96",NA,NA,2020-04-30,8122783.85,0,8122783.85,0,11.08991641,NA,722628.62,NA,722628.6,NA,722628.6,NA,722628.6,NA,722628.6,NA,9936142.58,NA,8122783.85
"97",NA,NA,2020-04-30,8e+06,0,8e+06,0,5.00556512,NA,266316.26,NA,1252774.05,NA,1218498.32,NA,1182955.14,NA,1152624.57,NA,4274351.55,NA,8e+06
"98",NA,NA,2020-04-30,7832814.72,0,0,7832814.72,4.134768238,NA,1214220.527,NA,1208980.985,NA,1183002.273,NA,1157344.804,NA,1131044.678,NA,3252811.996,NA,0
"99",NA,NA,2020-04-30,5806085.59,0,5806085.59,0,12.27475208,NA,448894.52,NA,499159.2,NA,499159.2,NA,499159.2,NA,499159.2,NA,7653774.53,NA,5806085.59
