"","Inicio","Classificador","UF","Credor","tipo_credor","Projeto","honras","data","Moeda","valor","data_date"
"94","Bahia","Estados","BA","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"01/07/2010","R$",563772000,2010-07-01
"95","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado da Bahia - PROCONFIS.",NA,"22/06/2009","USD",4.09e+08,2009-06-22
"96","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Programa de Restauração e Manutenção de Rodovias - PREMAR, do Estado da Bahia",NA,"10/09/2007","USD",1e+08,2007-09-10
"97","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Modernização e Transparência da Gestão Fiscal do Estado da Bahia - PROMOSEFAZ II",NA,"07/07/2006","USD",1.2e+07,2006-07-07
"98","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Fortalecimento da Atividade Empresarial do Estado da Bahia",NA,"07/07/2006","USD",1e+07,2006-07-07
"99","Bahia","Estados","BA","FIDA","Organismos Multilaterais","PRODECAR",NA,"05/07/2006","SDR",20800000,2006-07-05
"100","Bahia","Estados","BA","BNB","Bancos Federais","Prodetur II",NA,"12/06/2006","R$",33683771.59,2006-06-12
"101","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Integrado de Áreas Carentes no Estado da Bahia - VIVER MELHOR II",NA,"07/04/2006","USD",49296000,2006-04-07
"102","Bahia","Estados","BA","BNB","Bancos Federais","Prodetur II",NA,"02/01/2006","R$",32565233.35,2006-01-02
"103","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Projeto de Combate à Pobreza no Interior da Bahia",NA,"14/12/2005","USD",54350000,2005-12-14
"104","Bahia","Estados","BA","BNB","Bancos Federais","Prodetur II",NA,"22/12/2004","R$",26973974.69,2004-12-22
"105","Bahia","Estados","BA","BIRD","Organismos Multilaterais","A definir",NA,"15/12/2003","USD",6e+07,2003-12-15
"106","Bahia","Estados","BA","BIRD","Organismos Multilaterais","A definir",NA,"26/08/2003","USD",3e+07,2003-08-26
"107","Bahia","Estados","BA","BNB","Bancos Federais","Prodetur I",NA,"12/08/2002","R$",30088307.73,2002-08-12
"108","Bahia","Estados","BA","BNB","Bancos Federais","Prodetur I",NA,"04/07/2002","R$",1375368.83,2002-07-04
"109","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Integração dos Corredores Rodoviários do Estado da Bahia",NA,"27/12/1999","USD",1.46e+08,1999-12-27
"110","Bahia","Estados","BA","JICA","Agências Governamentais","A definir",NA,"29/05/1997","JPY",7.895e+09,1997-05-29
"111","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Saneamento Ambiental da Baía de Todos os Santos",NA,"01/03/1996","USD",68708619.08,1996-03-01
"112","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Rural Sustentável - Projeto São José III - 2ª Fase",NA,"30/12/2019","USD",1e+08,2019-12-30
"113","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Apoio à Melhoria da Segurança Hídrica e Fortalecimento da Inteligência na Gestão Pública do Estado do Ceará",NA,"30/12/2019","USD",139880000,2019-12-30
"114","Ceara","Estados","CE","BB","Bancos Federais","Amortização da Dívida Pública Estadual do Triênio 2019-2021",NA,"02/12/2019","R$",550400000,2019-12-02
"115","Ceara","Estados","CE","KFW","Agências Governamentais","Programa Águas do Sertão",NA,"26/06/2019","EUR",5e+07,2019-06-26
"116","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Modernização da Gestão Fiscal do Estado do Ceará - PROFISCO II - CE",NA,"17/10/2018","USD",7e+07,2018-10-17
"117","Ceara","Estados","CE","CAIXA","Bancos Federais","Repactuação Dívida FGTS",NA,"30/08/2018","R$",392685323.26,2018-08-30
"118","Ceara","Estados","CE","CAIXA","Bancos Federais","Programa de Financiamento das Contrapartidas do Programa de Aceleração do Crescimento",NA,"24/07/2018","R$",9e+07,2018-07-24
"119","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Expansão e Melhoria da Assistência Especializada à Saúde no Estado do Ceará II - PROEXMAES II",NA,"28/12/2017","USD",1.23e+08,2017-12-28
"120","Ceara","Estados","CE","BB","Bancos Federais","Programa de Ajuste Fiscal/PAF - Destinada ao Pagamento da Amortização da Dívida Pública do Biênio 2017 a 2018 e consequente manutenção da capacidade de investimentos do Estado previstos no PPA e na LOA",NA,"23/11/2017","R$",1.15e+09,2017-11-23
"121","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa Viário de Integração e Logística - CEARÁ IV 2ª Fase",NA,"01/06/2016","USD",2e+08,2016-06-01
"122","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Apoio às Reformas Sociais do Ceará - PROARES III 1ª Etapa",NA,"01/06/2016","USD",5e+07,2016-06-01
"123","Ceara","Estados","CE","BNDES","Bancos Federais","Linha Leste do Metrô do Município de Fortaleza",NA,"19/09/2014","R$",1e+09,2014-09-19
"124","Ceara","Estados","CE","BB","Bancos Federais","Programa Minha Casa Minha Vida - Art. 9º-S da Resolução CMN nº 2.827, de 30/03/2001, com as alterações das Resoluções nº 4.098, de 28/06/2012 e nº 4.158, de 22/11/2012",NA,"04/07/2014","R$",68253400,2014-07-04
"125","Ceara","Estados","CE","CAIXA","Bancos Federais","Programa de Financiamento das contrapartidas do Programa Minha Casa Minha Vida",NA,"06/03/2014","R$",120498332.97,2014-03-06
"126","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa Viário de Integração e Logística - Ceará IV, do Estado do Ceará",NA,"27/12/2013","USD",4e+08,2013-12-27
"127","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Apoio ao crescimento Econômico com redução das Desigualdades e Sustentabilidade Ambiental do estado do Ceará (P4R)",NA,"19/12/2013","USD",3.5e+08,2013-12-19
"128","Ceara","Estados","CE","CAIXA","Bancos Federais","Programa de Financiamento das Contrapartidas do Programa de Aceleração do Crescimento (CPAC)",NA,"06/12/2013","R$",72630734.47,2013-12-06
"129","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Desenvolvimento Urbano de Polos Regionais (Programa Cidades do Ceará II)",NA,"02/09/2013","USD",66500000,2013-09-02
"130","Ceara","Estados","CE","CAF","Organismos Multilaterais","Programa de Valorização Turística do Litoral Oeste - Ceará",NA,"28/08/2013","USD",62857157.62,2013-08-28
"131","Ceara","Estados","CE","CAF","Organismos Multilaterais","Programa de Valorização Turística do Litoral Oeste - Ceará",NA,"28/08/2013","USD",49142842.38,2013-08-28
"132","Ceara","Estados","CE","FIDA","Organismos Multilaterais","Projeto de Desenvolvimento Produtivo e de Capacidades/ PDPC - Projeto Paulo Freire",NA,"27/06/2013","EUR",5948482,2013-06-27
"133","Ceara","Estados","CE","FIDA","Organismos Multilaterais","Projeto de Desenvolvimento Produtivo e de Capacidades/ PDPC - Projeto Paulo Freire",NA,"27/06/2013","SDR",20624403,2013-06-27
"134","Ceara","Estados","CE","BB","Bancos Federais","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE",NA,"21/12/2012","R$",838902376.67,2012-12-21
"135","Ceara","Estados","CE","BNDES","Bancos Federais","Financiamento de Despesas de Capital realizadas a partir de 01/01/2012, relativas à amortização de dívida decorrente do Contrato 09.2.0611.1, de 01/10/2009, entre o mutuário e o BNDES.",NA,"21/12/2012","R$",250677416.44,2012-12-21
"136","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Rural Sustentável - Projeto São José III - CE",NA,"03/10/2012","USD",1e+08,2012-10-03
"137","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa Nacional de Desenvolvimento do Turismo - Ceará (Prodetur Nacional - Ceará)",NA,"25/11/2010","USD",1.5e+08,2010-11-25
"138","Ceara","Estados","CE","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"11/06/2010","R$",440214000,2010-06-11
"139","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Expansão e Melhoria da Assistência Especializada Saúde do Estado do Ceará",NA,"22/12/2009","USD",7.7e+07,2009-12-22
"140","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa Rodoviário do Estado do Ceará - Ceará III",NA,"22/12/2009","USD",158620000,2009-12-22
"141","Ceara","Estados","CE","BID","Organismos Multilaterais","Programa de Apoio às Reformas Sociais do Ceará - PROARES",NA,"22/12/2009","USD",4.5e+07,2009-12-22
"142","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Econômico Regional do Ceará - CIDADES DO CEARÁ - CARIRI CENTRAL",NA,"22/12/2009","USD",4.6e+07,2009-12-22
"143","Ceara","Estados","CE","BIRD","Organismos Multilaterais","Projeto de Gestão Integrada dos Recursos Hídricos do Ceará",NA,"22/09/2009","USD",1.03e+08,2009-09-22
