Relatório de Percentual Vincendo Garantias
Data de Emissão: 13/01/2022 08:23
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Percentual Vincendo: Tipo de Mutuário

Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%);
Castro;710.434,13;5,655337054986725%;706.104,80;5,620873873477884%;701.503,54;5,584246021466286%;696.618,50;5,545359168258526%;691.432,14;5,504073688507573%;9.056.095,90;72,09011019330301%;12.562.189,01;100%;
Catanduva;2.743.327,77;7,655726484730678%;2.714.940,49;7,576506912901875%;2.686.901,55;7,498259443565837%;2.658.246,40;7,41829233457582%;2.630.171,58;7,33994473594817%;22.400.082,28;62,51127008827762%;35.833.670,07;100%;
Caucaia;5.711.277,96;1,674554324472732%;5.726.968,26;1,679154741384899%;32.497.039,55;9,528175391241839%;31.960.715,78;9,3709245456936%;31.464.330,97;9,225383856550172%;233.702.234,19;68,52180714065676%;341.062.566,71;100%;
Caxias do Sul;33.815.409,63;15,49483709111048%;32.849.815,57;15,05238429164564%;31.863.236,23;14,60031565435806%;17.530.144,68;8,032631837741162%;16.836.532,61;7,714806143873383%;85.341.487,01;39,10502498127128%;218.236.625,73;100%;
Chapecó;7.469.187,66;18,35787307900017%;6.694.063,96;16,45276329292137%;6.180.797,73;15,19125043034631%;6.014.510,99;14,78254857325029%;5.852.581,80;14,38455676301302%;8.475.421,21;20,83100786146884%;40.686.563,35;100%;
Cianorte;16.948,35;100%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;16.948,35;100%;
Colatina;3.289.409,21;6,762144850354638%;3.256.037,19;6,693540910016995%;3.223.134,45;6,625901683745856%;3.189.391,52;6,556535251730736%;3.156.446,64;6,488809396899329%;32.530.046,36;66,87306790725245%;48.644.465,37;100%;
Concórdia;526.299,95;6,007376940874895%;522.383,83;5,962676938555497%;517.971,15;5,912309021782068%;513.286,32;5,858834687015518%;508.312,55;5,802062287156435%;6.172.640,60;70,45674012461559%;8.760.894,40;100%;
Contagem;1.108.287,52;1,60994406316157%;1.108.287,52;1,60994406316157%;1.114.376,96;1,618789834316674%;6.443.329,73;9,35984594124631%;6.342.299,47;9,213085227666616%;52.723.544,70;76,58839087044726%;68.840.125,90;100%;
Correia Pinto;298.973,60;5,514970672199538%;297.223,44;5,482686614103248%;295.349,57;5,448120558459825%;293.360,12;5,411422474067734%;291.247,95;5,372460654011717%;3.944.972,97;72,77033902715794%;5.421.127,65;100%;
Corumbá;13.320.363,59;5,907023032680036%;20.840.960,75;9,242092705776554%;20.398.338,53;9,045808300275881%;19.929.496,01;8,83789629054524%;19.473.763,70;8,635798109537068%;131.537.528,60;58,33138156118522%;225.500.451,18;100%;
Costa Rica;1.104.935,57;5,777626207948811%;1.098.007,56;5,741400157098686%;1.090.652,21;5,702939577059041%;1.082.843,24;5,662107051657504%;1.074.552,59;5,618755857233624%;13.673.395,39;71,49717114900233%;19.124.386,56;100%;
Cotiporã;284.645,29;5,956558756303523%;282.853,56;5,919064564776828%;280.883,84;5,877845709852279%;278.792,66;5,834085152493305%;276.572,49;5,787625318030622%;3.374.939,01;70,62482049854344%;4.778.686,85;100%;
Criciúma;7.646.746,71;6,780547994630558%;7.382.634,72;6,54635375594727%;7.068.619,25;6,267908941944601%;12.285.511,08;10,89384815212553%;11.759.914,36;10,4277893272504%;66.631.333,62;59,08355182810164%;112.774.759,74;100%;
Crucilândia;284.591,72;14,65107644502878%;269.132,38;13,85521361342675%;254.319,64;13,09263841938971%;237.851,88;12,24486108195211%;220.830,14;11,36856428045906%;675.737,11;34,78764615974358%;1.942.462,87;100%;
Curitiba;96.842.185,64;13,83937729626378%;93.845.763,97;13,41116917853308%;76.763.835,01;10,97005058684601%;59.580.062,73;8,514377923281386%;58.881.101,09;8,414491765326068%;313.845.310,67;44,85053324974967%;699.758.259,11;100%;
Doutor Pedrinho;536.079,44;16,82291304489574%;503.982,03;15,81565199903962%;473.498,99;14,85905211290319%;440.418,65;13,82094536641878%;406.992,54;12,77198787989566%;825.631,28;25,90944959684701%;3.186.602,93;100%;
Entre Rios;119.019,33;5,940058740434646%;118.135,81;5,895963712355184%;117.196,55;5,849086792677173%;116.199,35;5,799318183023922%;115.140,67;5,746481207825664%;1.417.980,90;70,76909136368341%;2.003.672,61;100%;
Eusébio;3.533.870,84;10,46810803801074%;4.525.602,59;13,40583711011386%;4.286.635,72;12,69796431964558%;4.011.721,63;11,88360790267721%;3.737.706,32;11,07191387111238%;13.662.911,20;40,47256875844024%;33.758.448,30;100%;
Feira de Santana;3.190.179,95;15,15524914704715%;3.123.081,89;14,83649351804775%;2.939.384,48;13,96382173781878%;2.743.806,41;13,03470976764649%;2.547.721,09;12,1031880587603%;6.505.826,21;30,90653777067952%;21.050.000,03;100%;
Florianópolis;27.161.305,93;8,682775068840046%;26.638.574,57;8,51567121779525%;21.994.304,63;7,031016858688915%;17.559.254,82;5,613244825982688%;17.381.397,92;5,556388522345407%;202.083.422,59;64,60090350634769%;312.818.260,46;100%;
Fortaleza;215.712.421,36;7,983376060464126%;251.731.224,09;9,31640846364396%;258.409.621,88;9,563571611240193%;241.600.070,90;8,94146109004344%;238.485.562,96;8,826195181981402%;1.496.081.143,04;55,36898759262688%;2.702.020.044,23;100%;
Fortim;627.141,18;8,008849280359047%;1.043.532,28;13,3263338722382%;989.963,86;12,64224324695512%;927.914,25;11,8498443577687%;865.988,87;11,05903193647472%;3.376.062,41;43,11369730620421%;7.830.602,85;100%;
Garça;256.546,91;5,931345381974111%;254.886,41;5,892954746098715%;253.121,28;5,852145072444552%;251.247,31;5,808819026126325%;249.257,79;5,762821472445615%;3.060.213,80;70,75191430091068%;4.325.273,50;100%;
Gaspar;2.061.297,68;6,522322106302599%;4.208.022,61;13,31495162456311%;3.995.760,68;12,64331613406692%;3.759.830,80;11,89679092968144%;3.509.581,71;11,10495713118363%;14.069.245,90;44,51766207420231%;31.603.739,38;100%;
Goioerê;388.822,81;14,90988542187496%;366.370,31;14,04891689373062%;346.067,12;13,27036628195309%;323.565,47;12,4075130370441%;300.351,19;11,51733312462763%;882.642,00;33,84598524076959%;2.607.818,90;100%;
Goiânia;101.598.920,45;12,32365460331159%;96.997.355,45;11,76549810476302%;92.724.649,54;11,24723126075377%;87.951.689,55;10,66828504664382%;83.064.434,64;10,07547518997985%;362.084.956,02;43,91985579454796%;824.422.005,65;100%;
Guarda-Mor;854.150,85;16,6038346813023%;806.967,62;15,6866400772697%;757.505,04;14,725137198439%;705.144,64;13,70730360915338%;652.764,90;12,68909406969135%;1.367.765,64;26,58799036414427%;5.144.298,69;100%;
Guarujá do Sul;70.472,84;9,385072907305305%;99.988,04;13,31569786684571%;94.943,57;12,64391113696915%;89.253,26;11,88611601738594%;83.317,51;11,09563493971775%;312.928,27;41,67356713177615%;750.903,49;100%;
Guarulhos;2.079.032,52;7,835345763932158%;1.588.183,85;5,985461738445037%;1.102.375,21;4,154572306515592%;617.420,44;2,326900893844185%;1.783.317,14;6,720869569970272%;19.363.694,77;72,97684972729276%;26.534.023,93;100%;
Gurupi;1.768.530,51;6,481813932142596%;1.753.195,53;6,425609933143942%;1.736.914,70;6,365939313878886%;1.719.629,73;6,302588436566248%;1.701.278,64;6,235330139262685%;18.604.950,70;68,18871824500564%;27.284.499,81;100%;
Hortolândia;14.305.126,52;6,474154857737011%;32.213.600,02;14,57909755381039%;31.635.279,36;14,31736358696752%;31.034.400,53;14,04542033706218%;30.452.315,54;13,78198272535315%;81.316.713,16;36,80198093906975%;220.957.435,13;100%;
